Reception date,Reception time,aggregation id ,aggregation name,BAT1.batteryCurrent[0].value,BAT1.batteryCurrent[1].value,BAT1.batteryCurrent[2].value,BAT1.batteryVoltage[0].value,BAT1.batteryVoltage[1].value,BAT1.batteryVoltage[2].value,EPS.switchCurrents[0].value,EPS.switchCurrents[1].value,EPS.switchCurrents[2].value,EPS.switchCurrents[3].value,EPS.switchCurrents[4].value,EPS.switchCurrents[5].value,EPS.switchCurrents[6].value,EPS.switchCurrents[7].value,EPS.switchCurrents[8].value,EPS.switchCurrents[9].value,EPS.switchVoltages[0].value,EPS.switchVoltages[1].value,EPS.switchVoltages[2].value,EPS.switchVoltages[3].value,EPS.switchVoltages[4].value,EPS.switchVoltages[5].value,EPS.switchVoltages[6].value,EPS.switchVoltages[7].value,EPS.switchVoltages[8].value,EPS.switchVoltages[9].value,EPS.busCurrents[0].value,EPS.busCurrents[1].value,EPS.busCurrents[2].value,EPS.busCurrents[3].value,EPS.busVoltages[0].value,EPS.busVoltages[1].value,EPS.busVoltages[2].value,EPS.busVoltages[3].value,EPS.BcrOutputCurrent.value,EPS.BcrOutputVoltage.value
2025-03-12,19:30:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.163818,0.72768,6.04352,0.256304,1.253632,1.005296,1.264256,0.98936,0.649392,0.5644,0.819376,0.84992,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.4696999999999998,8.906176,3.0435659999999998,5.765295,6.44822,7653.959153999999,0.062952099
2025-03-12,19:31:44.917,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.193995,3.6384,6.04352,0.256304,1.253632,1.005296,1.264256,0.98936,0.649392,0.5644,0.819376,0.7649279999999999,0.169984,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.4696999999999998,8.906176,3.0435659999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:32:44.927,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.228483,0.72768,6.90688,0.256304,1.253632,1.005296,1.264256,0.98936,0.649392,0.5644,0.734384,0.7649279999999999,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.906176,1.9399499999999998,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,19:33:44.937,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.25866,3.6384,6.90688,0.256304,1.253632,1.005296,1.1792639999999999,0.904368,0.649392,0.479408,0.734384,0.7649279999999999,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.906176,1.9399499999999998,5.765295,9.90166,7653.959153999999,2.365200291
2025-03-12,19:34:44.943,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.29314799999999996,0.72768,6.04352,0.256304,1.253632,1.090288,1.264256,0.98936,0.649392,0.5644,0.734384,0.7649279999999999,0.169984,1.72672,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.906176,1.9399499999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,19:35:44.946,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.323325,3.6384,6.04352,0.256304,1.16864,1.005296,1.264256,0.819376,0.649392,0.5644,0.734384,0.7649279999999999,0.169984,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.906176,1.9399499999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:36:44.940,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.357813,0.72768,6.90688,0.341296,1.16864,1.005296,1.264256,0.819376,0.5644,0.5644,0.734384,0.679936,0.169984,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.897198,4.147182,4.263855,6.44822,7653.959153999999,0.062952099
2025-03-12,19:37:44.949,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.38799,3.6384,6.04352,0.341296,1.16864,1.005296,1.264256,0.819376,0.5644,0.5644,0.734384,0.679936,0.169984,1.72672,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.906176,0.8363339999999999,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:38:44.508,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.42247799999999996,0.72768,6.90688,0.256304,1.253632,1.005296,1.264256,0.819376,0.5644,0.479408,0.734384,0.679936,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.897198,4.147182,4.263855,9.90166,7653.959153999999,4.667448483
2025-03-12,19:39:44.949,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.452655,3.6384,6.04352,0.256304,1.253632,1.005296,1.264256,0.819376,0.5644,0.479408,0.734384,0.679936,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,4.147182,5.765295,6.44822,7653.959153999999,0.062952099
2025-03-12,19:40:44.955,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.487143,0.72768,6.04352,0.256304,1.16864,1.005296,1.264256,0.734384,0.5644,0.479408,0.649392,0.594944,0.084992,1.72672,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,3.0435659999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:41:44.959,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.51732,3.6384,6.90688,0.256304,1.253632,1.005296,1.264256,0.734384,0.479408,0.394416,0.734384,0.594944,0.084992,1.72672,1.72672,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,3.0435659999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:42:44.950,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.551808,0.72768,6.90688,0.341296,1.253632,1.005296,1.264256,0.734384,0.479408,0.479408,0.5644,0.594944,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,3.0435659999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:43:44.954,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.581985,3.6384,6.90688,0.256304,1.16864,1.005296,1.264256,0.649392,0.479408,0.394416,0.649392,0.594944,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,3.0435659999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:44:44.959,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.6164729999999999,0.72768,6.90688,0.256304,1.253632,1.005296,1.264256,0.649392,0.5644,0.394416,0.649392,0.594944,0.084992,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057874,0.41192999999999996,2.002094,1.9399499999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,19:45:44.960,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.64665,3.6384,6.90688,0.256304,1.253632,1.005296,1.264256,0.5644,0.479408,0.394416,0.649392,0.594944,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057874,0.41192999999999996,2.002094,1.9399499999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:46:44.952,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.6811379999999999,0.72768,6.90688,0.256304,1.253632,1.005296,1.264256,0.649392,0.5644,0.479408,0.5644,0.594944,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,1.9399499999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:47:44.959,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.7113149999999999,3.6384,6.90688,0.256304,1.16864,1.005296,1.264256,0.5644,0.479408,0.394416,0.649392,0.594944,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,0.8363339999999999,4.263855,6.44822,7653.959153999999,0.062952099
2025-03-12,19:48:44.961,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.745803,0.72768,6.04352,0.256304,1.253632,1.005296,1.264256,0.5644,0.5644,0.394416,0.649392,0.509952,0.169984,1.72672,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,0.8363339999999999,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:49:44.964,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.77598,3.6384,6.04352,0.256304,1.16864,1.005296,1.264256,0.5644,0.479408,0.394416,0.5644,0.594944,0.169984,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,0.8363339999999999,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,19:50:44.969,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.810468,0.72768,6.04352,0.256304,1.16864,1.090288,1.264256,0.479408,0.394416,0.394416,0.649392,0.594944,0.084992,1.72672,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,0.8363339999999999,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:51:44.974,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.840645,3.6384,6.90688,0.256304,1.16864,1.005296,1.264256,0.479408,0.479408,0.394416,0.5644,0.594944,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,2.002094,0.8363339999999999,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,19:52:44.977,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.8751329999999999,0.72768,6.04352,0.256304,1.16864,1.005296,1.264256,0.479408,0.394416,0.394416,0.5644,0.594944,0.084992,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,4.147182,5.765295,9.90166,7653.959153999999,4.667448483
2025-03-12,19:53:44.980,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.90531,3.6384,6.90688,0.256304,1.253632,1.005296,1.264256,0.479408,0.479408,0.394416,0.5644,0.594944,0.084992,1.72672,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057874,0.41192999999999996,1.9931159999999999,4.147182,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,19:54:44.983,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.9397979999999999,0.72768,6.04352,0.256304,1.253632,1.005296,1.264256,0.394416,0.394416,0.394416,0.5644,0.509952,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057874,0.41192999999999996,1.9931159999999999,3.0435659999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,19:55:44.987,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,0.9699749999999999,3.6384,6.90688,0.256304,1.253632,1.005296,1.264256,0.394416,0.394416,0.394416,0.5644,0.509952,0.084992,1.72672,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,3.0435659999999998,5.765295,9.90166,7653.959153999999,2.365200291
2025-03-12,19:56:44.533,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.0044629999999999,0.72768,6.04352,0.341296,1.253632,1.005296,1.264256,0.394416,0.479408,0.394416,0.479408,0.594944,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,3.0435659999999998,5.765295,6.44822,7668.621910999999,0.062952099
2025-03-12,19:57:44.982,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.03464,3.6384,6.04352,0.256304,1.253632,1.005296,1.1792639999999999,0.309424,0.479408,0.309424,0.5644,0.509952,0.084992,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,3.0435659999999998,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,19:58:44.969,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.0691279999999999,0.72768,6.90688,0.256304,1.253632,1.005296,1.264256,0.394416,0.479408,0.394416,0.5644,0.509952,0.169984,0.86336,1.72672,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,3.0435659999999998,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,19:59:44.961,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.099305,3.6384,6.04352,0.256304,1.253632,1.090288,1.264256,0.224432,0.394416,0.394416,0.5644,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,1.9399499999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,20:00:44.940,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.1337929999999998,0.72768,6.04352,0.256304,1.16864,1.005296,1.1792639999999999,0.309424,0.479408,0.394416,0.5644,0.509952,0.084992,1.72672,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,1.9399499999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,20:01:44.934,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.16397,3.6384,6.90688,0.256304,1.253632,1.005296,1.264256,0.224432,0.479408,0.309424,0.5644,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,0.8363339999999999,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:02:44.929,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.198458,0.72768,6.90688,0.256304,1.16864,1.090288,1.264256,0.224432,0.479408,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,0.8363339999999999,5.765295,9.90166,7653.959153999999,4.667448483
2025-03-12,20:03:44.925,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.228635,3.6384,6.04352,0.256304,1.253632,0.920304,1.264256,0.224432,0.394416,0.309424,0.5644,0.42496,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,0.8363339999999999,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:04:44.911,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.263123,0.72768,6.04352,0.256304,1.253632,1.005296,1.264256,0.13944,0.394416,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.9931159999999999,0.8363339999999999,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,20:05:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.2933,3.6384,6.04352,0.256304,1.253632,1.005296,1.264256,0.224432,0.394416,0.309424,0.5644,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,4.147182,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:06:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.327788,0.72768,6.90688,0.256304,1.16864,1.005296,1.264256,0.13944,0.394416,0.394416,0.5644,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,4.147182,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:07:44.914,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.3579649999999999,3.6384,6.04352,0.256304,1.253632,1.005296,1.264256,0.13944,0.394416,0.309424,0.5644,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,3.0435659999999998,5.765295,6.44822,7653.959153999999,6.969696675
2025-03-12,20:08:44.912,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.392453,0.72768,6.04352,0.256304,1.253632,1.005296,1.264256,0.054447999999999996,0.309424,0.309424,0.479408,0.509952,0.084992,1.72672,1.72672,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,4.147182,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:09:44.914,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.4226299999999998,3.6384,6.04352,0.341296,1.253632,1.005296,1.264256,0.054447999999999996,0.394416,0.309424,0.5644,0.509952,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.879242,3.0435659999999998,4.263855,6.44822,7653.959153999999,4.667448483
2025-03-12,20:10:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.457118,0.72768,6.04352,0.256304,1.16864,1.005296,1.262928,1.329328,0.394416,0.309424,0.5644,0.509952,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.879242,3.0435659999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:11:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.4872949999999998,3.6384,6.90688,0.256304,1.253632,1.005296,1.262928,1.329328,0.394416,0.309424,0.479408,0.509952,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,3.0435659999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:12:44.915,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.5217829999999999,0.72768,6.04352,0.256304,1.16864,1.005296,1.262928,1.329328,0.394416,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,1.151104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,1.9399499999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:13:44.905,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.55196,3.6384,6.04352,0.256304,1.253632,1.005296,1.262928,1.2443359999999999,0.394416,0.309424,0.479408,0.509952,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,1.9399499999999998,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:14:44.464,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.5864479999999999,0.72768,6.90688,0.341296,1.253632,1.005296,1.262928,1.329328,0.479408,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,1.9399499999999998,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:15:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.616625,3.6384,6.90688,0.256304,1.253632,1.005296,1.262928,1.2443359999999999,0.394416,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,1.9399499999999998,5.765295,9.90166,7653.959153999999,4.667448483
2025-03-12,20:16:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.6511129999999998,0.72768,6.04352,0.256304,1.253632,1.005296,1.262928,1.2443359999999999,0.394416,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.879242,0.8363339999999999,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,20:17:44.918,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.68129,3.6384,6.04352,0.256304,1.253632,1.005296,1.262928,1.2443359999999999,0.309424,0.309424,0.479408,0.42496,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,0.8363339999999999,4.263855,6.44822,7653.959153999999,2.365200291
2025-03-12,20:18:44.908,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.7157779999999998,0.72768,6.90688,0.256304,1.253632,1.005296,1.262928,1.2443359999999999,0.309424,0.224432,0.479408,0.509952,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,0.8363339999999999,5.765295,6.44822,7653.959153999999,4.667448483
2025-03-12,20:19:44.911,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.745955,3.6384,6.90688,0.256304,1.253632,1.005296,1.262928,1.159344,0.394416,0.309424,0.5644,0.509952,0.084992,0.86336,1.72672,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.984138,0.8363339999999999,5.765295,6.44822,7653.959153999999,2.365200291
2025-03-12,20:20:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.780443,0.72768,6.90688,0.256304,1.253632,1.090288,1.262928,1.159344,0.394416,0.309424,0.479408,0.509952,0.084992,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,2.00169,1.97516,4.147182,4.263855,6.44822,7653.959153999999,6.969696675
2025-03-12,20:21:44.915,CCT_AGGREGATOR,CCT_AGGREGATOR,0.026185,0.0,0.0,1.81062,3.6384,6.04352,0.341296,1.253632,1.005296,1.262928,1.159344,0.309424,0.309424,0.479408,0.42496,0.169984,0.86336,0.86336,0.575552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052637,1.9996199999999997,8.870264,4.147182,5.765295,6.44822,7653.959153999999,4.667448483
